# Raw game results, one row per game, 1869-2025 (season,date,team1,score1,team2,score2).
# NOT wired into the Blue Blood Rating. Kept for a future head-to-head / margins feature.
# MAJOR-vs-MAJOR ONLY: no FBS-vs-FCS / small-college games, so it undercounts every
# program (pre-1936 is <50% covered). Do not use it to rebuild _staging_wins.csv.
# When wiring it up, add these name aliases: Southern Methodist->SMU,
# Alabama-Birmingham->UAB, North Carolina-Charlotte->Charlotte (plus strip " (ST)"
# state suffixes and map " St."->" State"). More pre-1936 data to come.
season,date,team1,score1,team2,score2
1887,1887-11-24,Harvard (MA),8,Yale (CT),17
1887,1887-11-24,Johns Hopkins (MD),0,Navy (MD),8
1887,1887-11-26,Cornell (NY),10,Lehigh (PA),38
1887,1888-04-20,Michigan,26,Notre Dame (IN),6
1887,1888-04-21,Michigan,10,Notre Dame (IN),4
1888,1888-08-25,Colorado School of Mines,6,Denver (CO),4
1888,1888-08-25,DePauw (IN),0,Butler (IN),0
1888,1888-08-25,DePauw (IN),6,Indiana,6
1888,1888-08-25,Johns Hopkins (MD),54,Maryland University,0
1888,1888-08-25,Lehigh (PA),30,Penn St.,0
1888,1888-10-03,Lehigh (PA),0,Princeton (NJ),65
1888,1888-10-03,Worcester Tech (MA),0,Harvard (MA),70
1888,1888-10-06,Lehigh (PA),12,Swarthmore (PA),8
1888,1888-10-06,Pennsylvania,48,Stevens Tech (NJ),0
1888,1888-10-06,Yale (CT),65,Rutgers (NJ),0
1888,1888-10-10,Bucknell (PA),0,Lafayette (PA),54
1888,1888-10-10,Pennsylvania,0,Princeton (NJ),63
1888,1888-10-13,Lafayette (PA),18,Swarthmore (PA),0
1888,1888-10-13,Lehigh (PA),30,Rutgers (NJ),0
1888,1888-10-13,Pennsylvania,0,Yale (CT),34
1888,1888-10-13,Princeton (NJ),80,Stevens Tech (NJ),0
1888,1888-10-17,Pennsylvania,44,Swarthmore (PA),6
1888,1888-10-17,Princeton (NJ),78,Rutgers (NJ),0
1888,1888-10-18,Amherst (MA),58,Massachusetts,0
1888,1888-10-18,North Carolina,4,Wake Forest (NC),6
1888,1888-10-19,Amherst (MA),0,Yale (CT),39
1888,1888-10-20,Lafayette (PA),4,Rutgers (NJ),0
1888,1888-10-20,Lehigh (PA),50,Swarthmore (PA),0
1888,1888-10-20,Pennsylvania,0,Princeton (NJ),38
1888,1888-10-24,Bucknell (PA),0,Lehigh (PA),74
1888,1888-10-24,Princeton (NJ),82,Rutgers (NJ),0
1888,1888-10-27,Bucknell (PA),0,Penn St.,0
1888,1888-10-27,Dartmouth (NH),0,Harvard (MA),74
1888,1888-10-27,Lehigh (PA),0,Pennsylvania,36
1888,1888-10-27,Worcester Tech (MA),0,Harvard (MA),68
1888,1888-10-27,Yale (CT),69,Stevens Tech (NJ),0
1888,1888-10-30,Amherst (MA),45,Massachusetts,4
1888,1888-10-31,Johns Hopkins (MD),0,Princeton (NJ),104
1888,1888-11-01,Lafayette (PA),0,Delaware,21
1888,1888-11-01,Rutgers (NJ),18,Stevens Tech (NJ),18
1888,1888-11-03,Amherst (MA),0,Harvard (MA),102
1888,1888-11-03,Pennsylvania,0,Yale (CT),54
1888,1888-11-03,Worcester Tech (MA),49,Massachusetts,0
1888,1888-11-07,Lafayette (PA),12,Pennsylvania,6
1888,1888-11-10,Amherst (MA),0,Yale (CT),70
1888,1888-11-10,Cornell (NY),0,Lafayette (PA),16
1888,1888-11-10,Lehigh (PA),10,Stevens Tech (NJ),0
1888,1888-11-10,Pennsylvania,0,Princeton (NJ),4
1888,1888-11-17,Bucknell (PA),0,Cornell (NY),20
1888,1888-11-17,Harvard (MA),6,Princeton (NJ),18
1888,1888-11-17,Lafayette (PA),4,Lehigh (PA),6
